case_name,release_date,author_judge,status,appeal_number
Conklin v. MSPB,2026-01-22,Chen,ingested,25-1613
"US Patent No. 7,679,637 LLC v. Google LLC",2026-01-22,Stoll,ingested,24-1520
Barry v. Depuy Synthes Companies,2026-01-20,Stark,ingested,23-2226
McKinney v. Secretary of Veterans Affairs,2026-01-14,CHEN,ingested,23-1930
Palmeri v. MSPB,2026-01-13,CHEN,ingested,24-1918
Young v. Collins,2026-01-13,Taranto,ingested,24-1833
"Crocs, Inc. v. Itc",2026-01-08,Stoll,ingested,24-1300
"Midwest-Cbk, LLC v. United States",2026-01-08,Cunningham,ingested,24-1142
"Ethanol Boosting Systems, LLC v. Ford Motor Company",2025-12-23,Chen,ingested,24-1381
Ablan v. United States,2025-12-22,,ingested,23-1363
White v. Hhs,2025-12-22,,ingested,24-1372
Micron Technology Inc. v. Longhorn Ip LLC,2025-12-18,,ingested,23-2007
Mutakaber v. Secretary of State,2025-12-18,,ingested,24-1644
Brimer v. Navy,2025-12-17,,ingested,24-1388
"Wonderland Switzerland Ag v. Evenflo Company, Inc.",2025-12-17,Moore,ingested,23-2043
Golden v. Collins,2025-12-12,Cunningham,ingested,23-2070
Lesko v. United States,2025-12-12,Stark,ingested,23-1823
"Game Plan, Inc. v. Uninterrupted Ip, LLC",2025-12-10,CUNNINGHAM,ingested,24-1407
"IBM v. Zillow Group, Inc.",2025-12-09,STOLL,ingested,24-1170
In Re BAYOU GRANDE COFFEE ROASTING CO.,2025-12-09,Stoll,ingested,24-1118
Coda Development S.R.O. v. Goodyear Tire & Rubber Company,2025-12-08,Cunningham,ingested,23-1880
"Adnexus Inc. v. Meta Platforms, Inc.",2025-12-05,STARK,ingested,24-1551
Mosaic Company v. United States,2025-12-05,Reyna,ingested,24-1593
Secretary of Defense v. Pratt & Whitney,2025-12-05,Dyk,ingested,23-1337
"Blue Sky the Color of Imagination, LLC v. United States",2025-12-04,Chen,ingested,24-1710
Colage v. Collins,2025-12-03,Cunningham,ingested,25-1536
"Seagen Inc. v. Daiichi Sankyo Company, Ltd.",2025-12-02,Lourie,ingested,23-2424
"In Re GESTURE TECHNOLOGY PARTNERS, LLC",2025-12-01,CHEN,ingested,25-1075
"Akamai Technologies, Inc. v. Mediapointe, Inc.",2025-11-25,Taranto,ingested,24-1571
"Escapex Ip, LLC v. Google LLC",2025-11-25,STARK,ingested,24-1201
Reyes v. MSPB,2025-11-21,PROST,ingested,24-1717
Duke University v. Sandoz Inc.,2025-11-18,Stark,ingested,24-1078
Kaptan Demir Celik Endustrisi Ve Ticaret A.S. v. United States,2025-11-17,Linn,ingested,24-1431
"Nutricia North America, Inc. v. United States",2025-11-17,Taranto,ingested,24-1436
"Smartrend Manufacturing Group (Smg), Inc. v. Opti-Luxx Inc.",2025-11-13,STARK,ingested,24-1616
"Canatex Completion Solutions, Inc. v. Wellmatics, LLC",2025-11-12,Taranto,ingested,24-1466
"In Re MOTOROLA SOLUTIONS, INC.",2025-11-06,Linn,ingested,25-134
"Merck Serono S.A. v. Hopewell Pharma Ventures, Inc.",2025-10-30,Linn,ingested,25-1210
Wright v. Collins,2025-10-28,Dyk,ingested,25-1502
Aortic Innovations LLC v. Edwards Lifesciences Corporation,2025-10-27,Reyna,ingested,24-1145
"Centripetal Networks, LLC v. Palo Alto Networks, Inc.",2025-10-22,Cunningham,ingested,23-2027
"Barrette Outdoor Living, Inc. v. Fortress Iron, Lp",2025-10-17,CUNNINGHAM,ingested,24-1231
Winnemucca Indian Colony v. United States,2025-10-16,CUNNINGHAM,ingested,24-1108
Brita Lp v. Itc,2025-10-15,Hughes,ingested,24-1098
"Causam Enterprises, Inc. v. Ecobee Technologies Ulc",2025-10-15,STOLL,ingested,24-1958
"Causam Enterprises, Inc. v. Itc",2025-10-15,Hughes,ingested,23-1769
Inland Diamond Products Co. v. Cherry Optical Inc.,2025-10-15,CHEN,ingested,24-1106
"Iqe Plc v. Newport Fab, LLC",2025-10-15,Hughes,ingested,24-1124
Sweet Harvest Foods v. United States,2025-10-15,Taranto,ingested,24-1370
Opm v. Moulton,2025-10-10,Prost,ingested,24-1774
Gujarat Fluorochemicals Ltd. v. United States,2025-10-08,Reyna,ingested,24-1268
Ag Der Dillinger Huttenwerke v. United States,2025-10-06,Reyna,ingested,24-1498
"US Inventor, Inc. v. PTO",2025-10-03,Reyna,ingested,24-1396
Electrical Welfare Trust Fund v. United States,2025-10-02,Stoll,ingested,24-1107
"Rex Medical, L.P. v. Intuitive Surgical, Inc.",2025-10-02,Stoll,ingested,24-1072
"Focus Products Group International, LLC v. Kartri Sales Co., Inc.",2025-09-30,,ingested,23-1446
Apex Bank v. Cc Serve Corp.,2025-09-25,CUNNINGHAM,ingested,23-2143
Hmtx Industries LLC v. United States,2025-09-25,,ingested,23-1891
Finesse Wireless LLC v. At&t Mobility LLC,2025-09-24,Cunningham,ingested,24-1039
Bayer Pharma Aktiengesellschaft v. Mylan Pharmaceuticals Inc.,2025-09-23,Cunningham,ingested,23-2434
"Future Link Systems, LLC v. Realtek Semiconductor Corporation",2025-09-09,STOLL,ingested,23-1056
Corinth Pipeworks Pipe Industry Sa v. United States,2025-09-08,Reyna,ingested,23-2094
Magema Technology LLC v. Phillips 66,2025-09-08,Stoll,ingested,24-1342
Hyatt v. Stewart,2025-08-29,Reyna,ingested,18-2390
"V.O.S. Selections, Inc. v. Trump",2025-08-29,Stark,ingested,25-1812
"percipient.ai, Inc. v. United States",2025-08-28,Hughes,ingested,23-1970
White v. Hhs,2025-08-27,STARK,ingested,24-1372
Global Health Solutions LLC v. Selner,2025-08-26,Stark,ingested,23-2009
In Re BRUNETTI,2025-08-26,DYK,ingested,23-1539
King v. United States,2025-08-18,Dyk,ingested,23-1956
Sauer West LLC v. United States,2025-08-14,Dyk,ingested,24-1114
"Laboratory Corporation of America Holdings v. Qiagen Sciences, LLC",2025-08-13,Lourie,ingested,23-2350
"Taction Technology, Inc. v. Apple Inc.",2025-08-13,Chen,ingested,23-2349
Fisher v. United States,2025-08-12,Stark,ingested,24-1167
"Valeo North America, Inc. v. United States",2025-08-12,Stoll,ingested,24-1189
"Powerblock Holdings, Inc. v. Ifit, Inc.",2025-08-11,Stoll,ingested,24-1177
Mondis Technology Ltd. v. Lg Electronics Inc.,2025-08-08,,ingested,23-2117
Tau-Ken Temir LLP v. United States,2025-08-04,,ingested,22-2204
"Fmc Corporation v. Sharda USA, LLC",2025-08-01,Chen,ingested,24-2335
"Kroy Ip Holdings, LLC v. Groupon, Inc.",2025-08-01,Hughes,ingested,23-1359
Wright v. Collins,2025-08-01,Dyk,ingested,24-1105
Dinh v. United States,2025-07-31,,ingested,23-2100
Cerrone v. Hhs,2025-07-29,Bryson,ingested,24-1281
"Jiaxing Super Lighting Electric Appliance, Co. v. Ch Lighting Technology Co., Ltd.",2025-07-28,,ingested,23-1715
Jilin Forest Industry Jinqiao Flooring Group Co. v. United States,2025-07-28,,ingested,23-2245
"Acorda Therapeutics, Inc. v. Alkermes Plc",2025-07-25,STARK,ingested,23-2374
"Sunkist Growers, Inc. v. Intrastate Distributors, Inc.",2025-07-23,STARK,ingested,24-1212
Igt v. Zynga Inc.,2025-07-22,,ingested,23-2262
"Colibri Heart Valve LLC v. Medtronic Corevalve, LLC",2025-07-18,Hughes,ingested,23-2153
Top Brand LLC v. Cozy Comfort Company LLC,2025-07-17,Dyk,ingested,24-2191
"Shockwave Medical, Inc. v. Cardiovascular Systems, Inc.",2025-07-14,Dyk,ingested,23-1864
"Janssen Pharmaceuticals, Inc. v. Teva Pharmaceuticals USA, Inc.",2025-07-08,,ingested,25-1228
"Egenera, Inc. v. Cisco Systems, Inc.",2025-07-07,,ingested,23-1428
"Eye Therapies, LLC v. Slayback Pharma LLC",2025-06-30,,ingested,23-2173
Deal v. Collins,2025-06-27,Dyk,ingested,23-2214
Realtek Semiconductor Corporation v. Itc,2025-06-18,Chen,ingested,23-1187
Ag Der Dillinger Huttenwerke v. United States,2025-06-17,Dyk,ingested,24-1219
"Ancora Technologies, Inc. v. Roku, Inc.",2025-06-16,Hughes,ingested,23-1674
"Optis Wireless Technology, LLC v. Apple Inc.",2025-06-16,Prost,ingested,22-1925
Stuart v. Opm,2025-06-13,Bryson,ingested,24-1024
"Mitek Systems, Inc. v. United Services Automobile Association",2025-06-12,CHEN,ingested,23-1687
United Services Automobile Association v. Pnc Bank N.A.,2025-06-12,Hughes,ingested,23-1639
"Agilent Technologies, Inc. v. Synthego Corp.",2025-06-11,REYNA,ingested,23-2186
Fraunhofer-Gesellschaft v. Sirius Xm Radio Inc.,2025-06-09,Lourie,ingested,23-2267
Lobo v. DOJ,2025-06-09,Taranto,ingested,24-1198
Stratton v. Hhs,2025-06-06,Cunningham,ingested,23-2230
Beacon Point Associates LLC v. DVA,2025-06-05,Hughes,ingested,24-1076
