case_name,pdf_url,release_date
LAND OF LINCOLN MUTUAL HEALTH v. US [OPINION],https://cafc.uscourts.gov/opinions-orders/17-1224.Opinion.6-14-2018.pdf,2018-06-14
IN RE: EFTHYMIOPOULOS [OPINION],https://cafc.uscourts.gov/opinions-orders/16-1003.Opinion.10-14-2016.1.PDF,2016-10-18
US MAGNESIUM LLC v. US [OPINION],https://cafc.uscourts.gov/opinions-orders/15-1864.Opinion.10-3-2016.1.PDF,2016-10-06
"DELORME PUBLISHING CO., INC. v. ITC [OPINION]",https://cafc.uscourts.gov/opinions-orders/14-1572.Opinion.11-9-2015.1.PDF,2015-11-12
"Akamai Technologies, Inc. v. Limelight Networks, Inc.",https://storage.courtlistener.com/pdf/2800400/,2015-05-13
"AKAMAI TECHNOLOGIES, INC. v. LIMELIGHT NETWORKS, INC. [OPINION]",https://cafc.uscourts.gov/opinions-orders/9-1372.Opinion.5-11-2015.1.PDF,2015-05-13
PAT HUVAL RESTAURANT & OYSTER v. ITC [OPINION],https://cafc.uscourts.gov/opinions-orders/12-1250.Opinion.5-5-2015.1.PDF,2015-05-07
AUTOMATED MERCHANDISING v. LEE [OPINION],https://cafc.uscourts.gov/opinions-orders/14-1728.Opinion.4-8-2015.1.PDF,2015-04-10
"KENNAMETAL, INC. v. INGERSOLL CUTTING TOOL COMPANY [OPINION]",https://cafc.uscourts.gov/opinions-orders/14-1350.Opinion.3-23-2015.1.PDF,2015-03-25
WINGARD v. MCDONALD [OPINION],https://cafc.uscourts.gov/opinions-orders/14-7017.Opinion.3-6-2015.1.PDF,2015-03-10
MINISTERIO ROCA SOLIDA v. US [OPINION],https://cafc.uscourts.gov/opinions-orders/14-5058.Opinion.2-24-2015.1.PDF,2015-02-26
"PACING TECHNOLOGIES, LLC v. GARMIN INTERNATIONAL, INC. [OPINION]",https://cafc.uscourts.gov/opinions-orders/14-1396.Opinion.2-13-2015.1.PDF,2015-02-18
"IN RE CUOZZO SPEED TECHNOLOGIES, LLC [ERRATA]",https://cafc.uscourts.gov/opinions-orders/14-1301.Errata.2-9-2015.1.PDF,2015-02-11
HELFERICH PATENT LICENSING v. THE NEW YORK TIMES [OPINION],https://cafc.uscourts.gov/opinions-orders/14-1196.Opinion.2-6-2015.1.PDF,2015-02-10
MOFFITT v. MCDONALD [OPINION],https://cafc.uscourts.gov/opinions-orders/14-7071.Opinion.1-16-2015.1.PDF,2015-01-21
BELIMO AUTOMATION A.G. v. US [OPINION],https://cafc.uscourts.gov/opinions-orders/14-1165.Opinion.12-16-2014.1.PDF,2014-12-19
"E.DIGITAL CORPORATION v. FUTUREWEI TECHNOLOGIES, INC. [OPINION]",https://cafc.uscourts.gov/opinions-orders/14-1019.Opinion.11-17-2014.1.PDF,2014-11-19
WORLD CLASS TECHNOLOGY CORP v. ORMCO CORPORATION [OPINION],https://cafc.uscourts.gov/opinions-orders/13-1679.Opinion.10-16-2014.1.PDF,2014-10-20
"BRISTOL-MYERS SQUIBB COMPANY v. TEVA PHARMACEUTICALS USA, INC [ORDER]",https://cafc.uscourts.gov/opinions-orders/13-1306.Order.10-16-2014.1.PDF,2014-10-20
