Case Name,Appeal Number,Release Date,Status,File Path,PDF URL,Pages,Chunks
"US Patent No. 7,679,637 LLC v. Google LLC",24-1520,2026-01-22,completed,,https://cafc.uscourts.gov/opinions-orders/24-1520.OPINION.1-22-2026_2636405.pdf,13,7
Conklin v. MSPB,25-1613,2026-01-22,completed,,https://cafc.uscourts.gov/opinions-orders/25-1613.OPINION.1-22-2026_2636392.pdf,9,5
Barry v. Depuy Synthes Companies,23-2226,2026-01-20,completed,,https://cafc.uscourts.gov/opinions-orders/23-2226.OPINION.1-20-2026_2634511.pdf,41,21
McKinney v. Secretary of Veterans Affairs,23-1930,2026-01-14,completed,,https://cafc.uscourts.gov/opinions-orders/23-1930.OPINION.1-14-2026_2632733.pdf,20,10
Young v. Collins,24-1833,2026-01-13,completed,,https://cafc.uscourts.gov/opinions-orders/24-1833.OPINION.1-13-2026_2631803.pdf,14,7
Palmeri v. MSPB,24-1918,2026-01-13,completed,,https://cafc.uscourts.gov/opinions-orders/24-1918.OPINION.1-13-2026_2631884.pdf,8,4
"Crocs, Inc. v. Itc",24-1300,2026-01-08,completed,,https://cafc.uscourts.gov/opinions-orders/24-1300.OPINION.1-8-2026_2629793.pdf,13,7
"Midwest-Cbk, LLC v. United States",24-1142,2026-01-08,completed,,https://cafc.uscourts.gov/opinions-orders/24-1142.OPINION.1-8-2026_2629753.pdf,14,7
"Ethanol Boosting Systems, LLC v. Ford Motor Company",24-1381,2025-12-23,completed,,https://cafc.uscourts.gov/opinions-orders/24-1381.OPINION.12-23-2025_2623346.pdf,25,13
White v. Hhs,24-1372,2025-12-22,completed,,https://cafc.uscourts.gov/opinions-orders/24-1372.OPINION.12-22-2025_2622454.pdf,13,7
Ablan v. United States,23-1363,2025-12-22,completed,,https://cafc.uscourts.gov/opinions-orders/23-1363.OPINION.12-22-2025_2622469.pdf,27,14
Micron Technology Inc. v. Longhorn Ip LLC,23-2007,2025-12-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-2007.OPINION.12-18-2025_2621143.pdf,12,6
Mutakaber v. Secretary of State,24-1644,2025-12-18,completed,,https://cafc.uscourts.gov/opinions-orders/24-1644.OPINION.12-18-2025_2621183.pdf,15,8
Brimer v. Navy,24-1388,2025-12-17,completed,,https://cafc.uscourts.gov/opinions-orders/24-1388.OPINION.12-17-2025_2620424.pdf,7,4
"Wonderland Switzerland Ag v. Evenflo Company, Inc.",23-2043,2025-12-17,completed,,https://cafc.uscourts.gov/opinions-orders/23-2043.OPINION.12-17-2025_2620462.pdf,26,13
Lesko v. United States,23-1823,2025-12-12,completed,,https://cafc.uscourts.gov/opinions-orders/23-1823.OPINION.12-12-2025_2618923.pdf,32,16
Golden v. Collins,23-2070,2025-12-12,completed,,https://cafc.uscourts.gov/opinions-orders/23-2070.OPINION.12-12-2025_2618593.pdf,11,6
"Game Plan, Inc. v. Uninterrupted Ip, LLC",24-1407,2025-12-10,completed,,https://cafc.uscourts.gov/opinions-orders/24-1407.OPINION.12-10-2025_2617313.pdf,12,6
"IBM v. Zillow Group, Inc.",24-1170,2025-12-09,completed,,https://cafc.uscourts.gov/opinions-orders/24-1170.OPINION.12-9-2025_2616412.pdf,16,8
In Re BAYOU GRANDE COFFEE ROASTING CO.,24-1118,2025-12-09,completed,,https://cafc.uscourts.gov/opinions-orders/24-1118.OPINION.12-9-2025_2616391.pdf,10,5
Coda Development S.R.O. v. Goodyear Tire & Rubber Company,23-1880,2025-12-08,completed,,https://cafc.uscourts.gov/opinions-orders/23-1880.OPINION.12-8-2025_2615672.pdf,17,9
Mosaic Company v. United States,24-1593,2025-12-05,completed,,https://cafc.uscourts.gov/opinions-orders/24-1593.OPINION.12-5-2025_2614809.pdf,16,8
"Adnexus Inc. v. Meta Platforms, Inc.",24-1551,2025-12-05,completed,,https://cafc.uscourts.gov/opinions-orders/24-1551.OPINION.12-5-2025_2614752.pdf,13,7
